#,Company Name,Job Title,Category,Application Link,Platform,Date Applied,Status,Salary,Resume Version Used,Cover Letter Version Used,Recruiter Information,Notes
11,Learntastic,Research & Data Analyst (Excel),Excel/Data,https://arc.dev/remote-jobs/excel,Arc.dev,,Ready to apply,Competitive,Learntastic_ResearchDataAnalystExcel_CustomResume.pdf,Learntastic_ResearchDataAnalystExcel_CoverLetter.pdf,See listing / company page,Excel + data analytics; freelance to full-time on Arc.
12,Momentum Life Sciences,Data & Analytics Analyst (Remote),Excel/Data,https://www.indeed.com/q-excel-data-analysis-l-remote-jobs.html,Indeed,,Ready to apply,$80k-$100k/yr,MomentumLifeSciences_DataAnalyticsAnalystRemote_CustomResume.pdf,MomentumLifeSciences_DataAnalyticsAnalystRemote_CoverLetter.pdf,See listing / company page,Excel data analysis; easy apply.
13,PROMARKETEXCHANGE,Entry Level Business-Data Analyst,Excel/Data,https://www.indeed.com/q-excel-data-analysis-l-remote-jobs.html,Indeed,,Ready to apply,Competitive,PROMARKETEXCHANGE_EntryLevelBusinessDataAnalyst_CustomResume.pdf,PROMARKETEXCHANGE_EntryLevelBusinessDataAnalyst_CoverLetter.pdf,See listing / company page,Entry-level; support senior analysts with Excel reporting.
14,LTVplus,Part-time Data Analyst (Energy Company),Excel/Data,https://www.simplyhired.com/q-excel-data-analyst-l-remote-jobs.html,SimplyHired,,Ready to apply,Hourly,LTVplus_ParttimeDataAnalystEnergyCompany_CustomResume.pdf,LTVplus_ParttimeDataAnalystEnergyCompany_CoverLetter.pdf,See listing / company page,"Part-time, flexible, Excel mid-level."
15,Buyers Edge Platform,Data Quality Analyst,Excel/Data,https://www.simplyhired.com/q-excel-data-analyst-l-remote-jobs.html,SimplyHired,,Ready to apply,Competitive,BuyersEdgePlatform_DataQualityAnalyst_CustomResume.pdf,BuyersEdgePlatform_DataQualityAnalyst_CoverLetter.pdf,See listing / company page,Microsoft Excel mid-level.
16,London School of Barbering,Excel & Automation Specialist,Excel/Data,https://www.peopleperhour.com/freelance-data-entry-jobs,PeoplePerHour,,Ready to apply,~€1.5k project,LondonSchoolofBarbering_ExcelAutomationSpecialist_CustomResume.pdf,LondonSchoolofBarbering_ExcelAutomationSpecialist_CoverLetter.pdf,See listing / company page,Fix Excel data tool + invoice automation; Power Query/VBA.
17,Private Client (Eli C.),UK Property Data Researcher (Excel/CSV),Excel/Data,https://www.peopleperhour.com/freelance-data-entry-jobs,PeoplePerHour,,Ready to apply,~€64+,PrivateClientEliC_UKPropertyDataResearcherExcelCSV_CustomResume.pdf,PrivateClientEliC_UKPropertyDataResearcherExcelCSV_CoverLetter.pdf,See listing / company page,Compile & dedupe dataset in Excel; possible ongoing work.
18,Construction Ops Client,Daily Excel Tracking & Reporting VA,Excel/Data,https://www.freelancer.com/jobs/data-entry,Freelancer,,Ready to apply,Project,ConstructionOpsClient_DailyExcelTrackingReportingVA_CustomResume.pdf,ConstructionOpsClient_DailyExcelTrackingReportingVA_CoverLetter.pdf,See listing / company page,Excel attendance/materials tracking + Word summaries.
19,Financial Data Client,Excel Data Entry (Financial Figures),Excel/Data,https://www.freelancer.com/jobs/data-entry,Freelancer,,Ready to apply,Project,FinancialDataClient_ExcelDataEntryFinancialFigures_CustomResume.pdf,FinancialDataClient_ExcelDataEntryFinancialFigures_CoverLetter.pdf,See listing / company page,Accurate entry into .xlsx template + balance checks.
20,Records Digitization Client,"Master Excel Workbook Builder (5,000+ records)",Excel/Data,https://www.freelancer.com/jobs/data-entry,Freelancer,,Ready to apply,Project,RecordsDigitizationClient_MasterExcelWorkbookBuilder5000records_CustomResume.pdf,RecordsDigitizationClient_MasterExcelWorkbookBuilder5000records_CoverLetter.pdf,See listing / company page,Capture structured + unstructured data into clean .xlsx.
21,ZipRecruiter,Microsoft Office Data Entry Specialist,MS Office,https://www.ziprecruiter.com/Jobs/Microsoft-Data-Entry-Remote,ZipRecruiter,,Ready to apply,$16-$25/hr,ZipRecruiter_MicrosoftOfficeDataEntrySpecialist_CustomResume.pdf,ZipRecruiter_MicrosoftOfficeDataEntrySpecialist_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
22,Indeed,Microsoft Office Remote Data Entry Clerk,MS Office,https://www.indeed.com/q-microsoft-office-remote-data-entry-jobs.html,Indeed,,Ready to apply,$20-$22/hr,Indeed_MicrosoftOfficeRemoteDataEntryClerk_CustomResume.pdf,Indeed_MicrosoftOfficeRemoteDataEntryClerk_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
23,Working Nomads,Microsoft Office Specialist (Remote),MS Office,https://www.workingnomads.com/remote-microsoft-office-jobs,Working Nomads,,Ready to apply,Competitive,WorkingNomads_MicrosoftOfficeSpecialistRemote_CustomResume.pdf,WorkingNomads_MicrosoftOfficeSpecialistRemote_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
24,Remote.co,Virtual Assistant (MS Office),MS Office,https://remote.co/remote-va-jobs-increasingly-popular-jobs-hiring-now,Remote.co,,Ready to apply,Competitive,Remoteco_VirtualAssistantMSOffice_CustomResume.pdf,Remoteco_VirtualAssistantMSOffice_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
25,Upwork,Data Entry Virtual Assistant (MS Office),MS Office,https://www.upwork.com/freelance-jobs/data-entry/,Upwork,,Ready to apply,$15-$30/hr,Upwork_DataEntryVirtualAssistantMSOffice_CustomResume.pdf,Upwork_DataEntryVirtualAssistantMSOffice_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
26,Indeed,Virtual Administrative Assistant (Office Suite),MS Office,https://www.indeed.com/q-data-entry-virtual-assistant-jobs.html,Indeed,,Ready to apply,Competitive,Indeed_VirtualAdministrativeAssistantOfficeSuit_CustomResume.pdf,Indeed_VirtualAdministrativeAssistantOfficeSuit_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
27,ZipRecruiter,Microsoft Office Administrative Assistant,MS Office,https://www.ziprecruiter.com/Jobs/Microsoft-Remote,ZipRecruiter,,Ready to apply,$21-$36/hr,ZipRecruiter_MicrosoftOfficeAdministrativeAssistant_CustomResume.pdf,ZipRecruiter_MicrosoftOfficeAdministrativeAssistant_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
28,DailyRemote,Remote Data Entry Specialist,MS Office,https://dailyremote.com/remote-data-analyst-jobs,DailyRemote,,Ready to apply,Competitive,DailyRemote_RemoteDataEntrySpecialist_CustomResume.pdf,DailyRemote_RemoteDataEntrySpecialist_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
29,Contra,Microsoft Office / Admin Freelancer,MS Office,https://contra.com/,Contra,,Ready to apply,Project,Contra_MicrosoftOfficeAdminFreelancer_CustomResume.pdf,Contra_MicrosoftOfficeAdminFreelancer_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
30,Indeed (NG),Remote Microsoft Office Assistant,MS Office,https://ng.indeed.com/jobs?q=microsoft+office+remote,Indeed (NG),,Ready to apply,Competitive,IndeedNG_RemoteMicrosoftOfficeAssistant_CustomResume.pdf,IndeedNG_RemoteMicrosoftOfficeAssistant_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
31,ZipRecruiter,Remote Excel Specialist,Excel/Data,https://www.ziprecruiter.com/Jobs/Remote-Excel,ZipRecruiter,,Ready to apply,$20-$68/hr,ZipRecruiter_RemoteExcelSpecialist_CustomResume.pdf,ZipRecruiter_RemoteExcelSpecialist_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
32,Working Nomads,Excel Specialist / Spreadsheet Manager,Excel/Data,https://www.workingnomads.com/remote-excel-jobs,Working Nomads,,Ready to apply,Competitive,WorkingNomads_ExcelSpecialistSpreadsheetManager_CustomResume.pdf,WorkingNomads_ExcelSpecialistSpreadsheetManager_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
33,Glassdoor,Remote Data Analyst (Excel),Excel/Data,"https://www.glassdoor.com/Job/remote-data-analyst-jobs-SRCH_IL.0,6_IS11047_KO7,19.htm",Glassdoor,,Ready to apply,$60k-$90k/yr,Glassdoor_RemoteDataAnalystExcel_CustomResume.pdf,Glassdoor_RemoteDataAnalystExcel_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
34,Glassdoor,Entry-Level Data Analyst,Excel/Data,"https://www.glassdoor.com/Job/remote-entry-level-data-analyst-jobs-SRCH_IL.0,6_IS11047_KO7,31.htm",Glassdoor,,Ready to apply,Competitive,Glassdoor_EntryLevelDataAnalyst_CustomResume.pdf,Glassdoor_EntryLevelDataAnalyst_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
35,SimplyHired,Excel Data Analyst (Remote),Excel/Data,https://www.simplyhired.com/q-excel-data-analyst-l-remote-jobs.html,SimplyHired,,Ready to apply,Competitive,SimplyHired_ExcelDataAnalystRemote_CustomResume.pdf,SimplyHired_ExcelDataAnalystRemote_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
36,Indeed,Excel Data Analysis (Remote),Excel/Data,https://www.indeed.com/q-excel-data-analysis-l-remote-jobs.html,Indeed,,Ready to apply,Competitive,Indeed_ExcelDataAnalysisRemote_CustomResume.pdf,Indeed_ExcelDataAnalysisRemote_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
37,Upwork,Excel / Data Analysis Freelancer,Excel/Data,https://www.upwork.com/freelance-jobs/data-entry/,Upwork,,Ready to apply,$15-$35/hr,Upwork_ExcelDataAnalysisFreelancer_CustomResume.pdf,Upwork_ExcelDataAnalysisFreelancer_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
38,Freelancer,Excel Data Entry & Cleaning,Excel/Data,https://www.freelancer.com/jobs/data-entry,Freelancer,,Ready to apply,Project,Freelancer_ExcelDataEntryCleaning_CustomResume.pdf,Freelancer_ExcelDataEntryCleaning_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
39,PeoplePerHour,Excel Dashboard / Reporting Specialist,Excel/Data,https://www.peopleperhour.com/freelance-data-entry-jobs,PeoplePerHour,,Ready to apply,Project,PeoplePerHour_ExcelDashboardReportingSpecialist_CustomResume.pdf,PeoplePerHour_ExcelDashboardReportingSpecialist_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
40,ZipRecruiter,Remote Data Entry Excel Clerk,Excel/Data,https://www.ziprecruiter.com/Jobs/Remote-Data-Entry-Excel,ZipRecruiter,,Ready to apply,$16-$57/hr,ZipRecruiter_RemoteDataEntryExcelClerk_CustomResume.pdf,ZipRecruiter_RemoteDataEntryExcelClerk_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
41,DailyRemote,Remote Data Analyst,Excel/Data,https://dailyremote.com/remote-data-analyst-jobs,DailyRemote,,Ready to apply,Competitive,DailyRemote_RemoteDataAnalyst_CustomResume.pdf,DailyRemote_RemoteDataAnalyst_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
42,Arc.dev,Excel / Reporting Analyst,Excel/Data,https://arc.dev/remote-jobs/excel,Arc.dev,,Ready to apply,Competitive,Arcdev_ExcelReportingAnalyst_CustomResume.pdf,Arcdev_ExcelReportingAnalyst_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
43,Contra,Excel Spreadsheet Freelancer,Excel/Data,https://contra.com/,Contra,,Ready to apply,Project,Contra_ExcelSpreadsheetFreelancer_CustomResume.pdf,Contra_ExcelSpreadsheetFreelancer_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
44,We Work Remotely,Data / Excel Analyst,Excel/Data,https://weworkremotely.com/remote-jobs/search?term=excel,We Work Remotely,,Ready to apply,Competitive,WeWorkRemotely_DataExcelAnalyst_CustomResume.pdf,WeWorkRemotely_DataExcelAnalyst_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
45,RemoteOK,Excel Data Analyst,Excel/Data,https://remoteok.com/remote-excel-jobs,RemoteOK,,Ready to apply,Competitive,RemoteOK_ExcelDataAnalyst_CustomResume.pdf,RemoteOK_ExcelDataAnalyst_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
46,ZipRecruiter,Remote PowerPoint Designer,PowerPoint,https://www.ziprecruiter.com/Jobs/Powerpoint-Designer-Remote,ZipRecruiter,,Ready to apply,$58k-$116k/yr,ZipRecruiter_RemotePowerPointDesigner_CustomResume.pdf,ZipRecruiter_RemotePowerPointDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
47,Upwork,Presentation / Pitch Deck Designer,PowerPoint,https://www.upwork.com/freelance-jobs/presentation-design/,Upwork,,Ready to apply,$25-$75/hr,Upwork_PresentationPitchDeckDesigner_CustomResume.pdf,Upwork_PresentationPitchDeckDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
48,Indeed,Presentation Designer (Remote),PowerPoint,https://www.indeed.com/q-presentation-designer-remote-jobs.html,Indeed,,Ready to apply,$35/hr,Indeed_PresentationDesignerRemote_CustomResume.pdf,Indeed_PresentationDesignerRemote_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
49,Glassdoor,PowerPoint Designer (Remote),PowerPoint,"https://www.glassdoor.com/Job/powerpoint-designer-Remote-SRCH_KO0,19_IL.20,26_IS11047.htm",Glassdoor,,Ready to apply,$23-$36/hr,Glassdoor_PowerPointDesignerRemote_CustomResume.pdf,Glassdoor_PowerPointDesignerRemote_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
50,SimplyHired,Presentation Designer (PowerPoint),PowerPoint,https://www.simplyhired.com/search?q=powerpoint+presentation+designer&l=remote,SimplyHired,,Ready to apply,Competitive,SimplyHired_PresentationDesignerPowerPoint_CustomResume.pdf,SimplyHired_PresentationDesignerPowerPoint_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
51,Contra,Pitch Deck / Presentation Designer,PowerPoint,https://contra.com/,Contra,,Ready to apply,Project,Contra_PitchDeckPresentationDesigner_CustomResume.pdf,Contra_PitchDeckPresentationDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
52,PeoplePerHour,PowerPoint Presentation Specialist,PowerPoint,https://www.peopleperhour.com/freelance-jobs/design/presentation-design,PeoplePerHour,,Ready to apply,Project,PeoplePerHour_PowerPointPresentationSpecialist_CustomResume.pdf,PeoplePerHour_PowerPointPresentationSpecialist_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
53,Fiverr Pro,Presentation Design Gigs,PowerPoint,https://www.fiverr.com/,Fiverr Pro,,Ready to apply,Project,FiverrPro_PresentationDesignGigs_CustomResume.pdf,FiverrPro_PresentationDesignGigs_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
54,We Work Remotely,Presentation Designer,PowerPoint,https://weworkremotely.com/remote-jobs/search?term=presentation,We Work Remotely,,Ready to apply,Competitive,WeWorkRemotely_PresentationDesigner_CustomResume.pdf,WeWorkRemotely_PresentationDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
55,RemoteOK,Presentation Designer,PowerPoint,https://remoteok.com/remote-design-jobs,RemoteOK,,Ready to apply,Competitive,RemoteOK_PresentationDesigner_CustomResume.pdf,RemoteOK_PresentationDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
56,Kinerax,"Graphic Designer (Full-time Remote, Worldwide)",Graphic Design,"https://www.glassdoor.com/Job/lagos-remote-graphic-designer-jobs-SRCH_IL.0,5_IC2543876_KO6,29.htm",Glassdoor,,Ready to apply,Competitive,Kinerax_GraphicDesignerFulltimeRemoteWorldwide_CustomResume.pdf,Kinerax_GraphicDesignerFulltimeRemoteWorldwide_CoverLetter.pdf,See listing / company page,Brand/social/print visuals; 3 yrs design preferred. Nigeria-based founder.
57,Marketers in Demand,Graphic Designer,Graphic Design,https://dynamitejobs.com/country/remote-jobs-in-south-africa,Dynamite Jobs,,Ready to apply,$2.5k-$4k/mo,MarketersinDemand_GraphicDesigner_CustomResume.pdf,MarketersinDemand_GraphicDesigner_CoverLetter.pdf,See listing / company page,"Figma, graphic/visual/brand design."
58,INFUSE,"Graphic Designer, Data Visualization (Remote, Contract)",Graphic Design,https://za.indeed.com/q-remote-graphic-design-jobs.html,Indeed,,Ready to apply,Competitive,INFUSE_GraphicDesignerDataVisualizationRemoteCo_CustomResume.pdf,INFUSE_GraphicDesignerDataVisualizationRemoteCo_CoverLetter.pdf,See listing / company page,Contract; combines design + data viz – strong fit for your dual skills.
59,ABC Worldwide,Freelance Graphic Designer (Remote),Graphic Design,https://www.adzuna.co.za/graphic-design/remote,Adzuna,,Ready to apply,Project,ABCWorldwide_FreelanceGraphicDesignerRemote_CustomResume.pdf,ABCWorldwide_FreelanceGraphicDesignerRemote_CoverLetter.pdf,See listing / company page,Graphic design + video editing for brand social growth.
60,TalentPop App,Graphic Designer,Graphic Design,https://www.adzuna.co.za/graphic-design/remote,Adzuna,,Ready to apply,Competitive,TalentPopApp_GraphicDesigner_CustomResume.pdf,TalentPopApp_GraphicDesigner_CoverLetter.pdf,See listing / company page,Portfolio weighted over CV; digital/print/social.
61,Hugo,Brand Designer,Graphic Design,https://ng.indeed.com/q-remote-graphics-designer-jobs.html,Indeed (NG),,Ready to apply,Competitive,Hugo_BrandDesigner_CustomResume.pdf,Hugo_BrandDesigner_CoverLetter.pdf,See listing / company page,Brand design.
62,Designrepublik Ltd,Graphic Designer,Graphic Design,https://ng.indeed.com/q-remote-graphics-designer-jobs.html,Indeed (NG),,Ready to apply,Competitive,DesignrepublikLtd_GraphicDesigner_CustomResume.pdf,DesignrepublikLtd_GraphicDesigner_CoverLetter.pdf,See listing / company page,Graphic design.
63,Flagship Communications Hub,Graphic Designer & Brand Creative,Graphic Design,https://ng.indeed.com/q-remote-graphics-designer-jobs.html,Indeed (NG),,Ready to apply,Competitive,FlagshipCommunicationsHub_GraphicDesignerBrandCreative_CustomResume.pdf,FlagshipCommunicationsHub_GraphicDesignerBrandCreative_CoverLetter.pdf,See listing / company page,Brand creative + graphics.
64,YO IT Consulting,Canva User/Specialist (Remote),Graphic Design,https://za.indeed.com/q-graphic-designer-remote-jobs.html,Indeed (ZA),,Ready to apply,Competitive,YOITConsulting_CanvaUserSpecialistRemote_CustomResume.pdf,YOITConsulting_CanvaUserSpecialistRemote_CoverLetter.pdf,See listing / company page,Canva user-level; expert-level remote role.
65,Huble,Graphic Designer (South Africa),Graphic Design,https://designproject.io/jobs/remote/city/cape-town/visual-and-graphic-design,DesignProject.io,,Ready to apply,Competitive,Huble_GraphicDesignerSouthAfrica_CustomResume.pdf,Huble_GraphicDesignerSouthAfrica_CoverLetter.pdf,See listing / company page,Full-time graphic design.
66,Hire Hangar,Full Stack Graphic Designer,Graphic Design,https://www.remoterocketship.com/country/africa/jobs/graphics-design/,Remote Rocketship,,Ready to apply,Competitive,HireHangar_FullStackGraphicDesigner_CustomResume.pdf,HireHangar_FullStackGraphicDesigner_CoverLetter.pdf,See listing / company page,Digital assets for branding/marketing/product; global clients.
67,Media Engineered,Meta Static Ad Designer,Graphic Design,https://dynamitejobs.com/country/remote-jobs-in-south-africa,Dynamite Jobs,,Ready to apply,$65k-$95k/yr,MediaEngineered_MetaStaticAdDesigner_CustomResume.pdf,MediaEngineered_MetaStaticAdDesigner_CoverLetter.pdf,See listing / company page,Static ad/visual design.
68,We Work Remotely,Graphic Designer,Graphic Design,https://weworkremotely.com/remote-jobs/search?term=graphic+designer,We Work Remotely,,Ready to apply,Competitive,WeWorkRemotely_GraphicDesigner_CustomResume.pdf,WeWorkRemotely_GraphicDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
69,RemoteOK,Graphic Designer,Graphic Design,https://remoteok.com/remote-graphic-designer-jobs,RemoteOK,,Ready to apply,Competitive,RemoteOK_GraphicDesigner_CustomResume.pdf,RemoteOK_GraphicDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
70,Upwork,Graphic Design / Flyer / Logo Freelancer,Graphic Design,https://www.upwork.com/freelance-jobs/graphic-design/,Upwork,,Ready to apply,$15-$40/hr,Upwork_GraphicDesignFlyerLogoFreelancer_CustomResume.pdf,Upwork_GraphicDesignFlyerLogoFreelancer_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
71,Contra,Graphic Designer (Brand/Social),Graphic Design,https://contra.com/,Contra,,Ready to apply,Project,Contra_GraphicDesignerBrandSocial_CustomResume.pdf,Contra_GraphicDesignerBrandSocial_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
72,Wellfound,Graphic Designer (Startups),Graphic Design,https://wellfound.com/role/r/graphic-designer,Wellfound,,Ready to apply,Competitive,Wellfound_GraphicDesignerStartups_CustomResume.pdf,Wellfound_GraphicDesignerStartups_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
73,Glassdoor,Remote Graphic Designer,Graphic Design,"https://www.glassdoor.com/Job/lagos-remote-graphic-designer-jobs-SRCH_IL.0,5_IC2543876_KO6,29.htm",Glassdoor,,Ready to apply,Competitive,Glassdoor_RemoteGraphicDesigner_CustomResume.pdf,Glassdoor_RemoteGraphicDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
74,Indeed (NG),Remote Graphics Designer,Graphic Design,https://ng.indeed.com/q-remote-graphics-designer-jobs.html,Indeed (NG),,Ready to apply,Competitive,IndeedNG_RemoteGraphicsDesigner_CustomResume.pdf,IndeedNG_RemoteGraphicsDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
75,Remote Rocketship,Graphic Designer (Africa),Graphic Design,https://www.remoterocketship.com/country/africa/jobs/graphics-design/,Remote Rocketship,,Ready to apply,Competitive,RemoteRocketship_GraphicDesignerAfrica_CustomResume.pdf,RemoteRocketship_GraphicDesignerAfrica_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
76,DailyRemote,Graphic Designer (Design),Graphic Design,https://dailyremote.com/remote-design-jobs-in-south-africa,DailyRemote,,Ready to apply,Competitive,DailyRemote_GraphicDesignerDesign_CustomResume.pdf,DailyRemote_GraphicDesignerDesign_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
77,Working Nomads,Graphic / Social Media Designer,Graphic Design,https://www.workingnomads.com/remote-design-jobs,Working Nomads,,Ready to apply,Competitive,WorkingNomads_GraphicSocialMediaDesigner_CustomResume.pdf,WorkingNomads_GraphicSocialMediaDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
78,Fiverr,Logo & Flyer Design Gigs,Graphic Design,https://www.fiverr.com/,Fiverr,,Ready to apply,Project,Fiverr_LogoFlyerDesignGigs_CustomResume.pdf,Fiverr_LogoFlyerDesignGigs_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
79,PeoplePerHour,Social Media Graphics Designer,Graphic Design,https://www.peopleperhour.com/freelance-jobs/design,PeoplePerHour,,Ready to apply,Project,PeoplePerHour_SocialMediaGraphicsDesigner_CustomResume.pdf,PeoplePerHour_SocialMediaGraphicsDesigner_CoverLetter.pdf,See listing / company page,Live board feed – filter to newest & apply with tailored docs.
